OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
UMRR_LTRM,Upper Mississippi River Restoration - Long Term Resource Monitoring,UMRR_LTRM-UI02.9M:20201109:1102:SR:WB:0.2,Sample-Routine,Water,,2020-11-09,11:02:00,CST,,,,,0.2,m,,,,,,UMRR_LTRM_FIXED_SITE_WQ_DATA,Upper Mississippi River Restoration-Long Term Resource Monitoring Water Quality Data Wate Quality Fixed Site Data,,UMRR_LTRM-UI02.9M,Upper Iowa River 02.9M,,,,,43.4740000000,-91.2950000000,Grab Sample Method,UMRR_LTRM,Grab Sample Method,,Water Bottle,STORET-991835620,,,Chlorophyll/Pheophytin ratio,"Filtered, lab",8.75432,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,10200-H,APHA,10200 H ~ Chlorophyll a-b-c Determination,,,,,,,,,,,2023-10-27T20:44:17,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-913328-SW,Sample-Routine,Water,Surface Water,2020-01-07,10:10:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872278859,,,Total dissolved solids,Dissolved,340,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2540-C,APHA,2540 C ~ Total Dissolved Solids in Water,,https://www.nemi.gov/methods/method_summary/9818/,UHL,2020-01-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-913328-SW/results/872278859/resdetectqntlmts,Method Detection Level,1,mg/L,,2021-01-13T16:52:35,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20042267003-MW,Field Msr/Obs,Water,Municipal Waste,2020-09-23,11:14:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010001,Greenfield Lake,,,,,41.2981980000,-94.4813330000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872302789,,,Total dissolved solids,Total,178,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 2510,21IOWA_WQX,ISU modification of APHA 2510,,,ISU,2020-09-23,,,,,,,2021-01-13T16:56:12,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-MET_AMBIENT-SHL-913295-SW,Sample-Routine,Water,Surface Water,2020-01-07,11:10:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872306524,,,Arsenic,Dissolved,0.39,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,UHL,2020-01-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-MET_AMBIENT-SHL-913295-SW/results/872306524/resdetectqntlmts,Method Detection Level,0.05,ug/L,,2021-01-13T16:56:48,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-913329-SW,Sample-Routine,Water,Surface Water,2020-01-07,11:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872278896,,as SO4,Sulfate,Total,16,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,UHL,2020-01-10,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-913329-SW/results/872278896/resdetectqntlmts,Method Detection Level,0.2,mg/L,,2021-01-13T16:52:35,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20087261002-SW,Sample-Routine,Water,Surface Water,2020-09-17,11:20:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872304201,,as N,Kjeldahl nitrogen,Total,0.74,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,ISU,2020-09-17,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2020-A20087261002-SW/results/872304201/resdetectqntlmts,Method Detection Level,0.24,mg/L,,2021-01-13T16:56:23,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-MET_AMBIENT-SHL-913293-SW,Sample-Routine,Water,Surface Water,2020-01-07,10:20:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872306517,,,Copper,Dissolved,0.48,ug/L,B,Final,,Actual,,,,,,,,,,Blank detect 0.26,,,,,,,,,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,UHL,2020-01-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-MET_AMBIENT-SHL-913293-SW/results/872306517/resdetectqntlmts,Method Detection Level,0.05,ug/L,,2021-01-13T16:56:48,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1162293-SW,Sample-Routine,Water,Surface Water,2020-08-06,11:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872262958,,,Chloride,Total,17,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,UHL,2020-08-07,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1162293-SW/results/872262958/resdetectqntlmts,Method Detection Level,0.2,mg/L,,2021-01-13T16:50:19,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20245267002-SW,Sample-Routine,Water,Surface Water,2020-09-23,10:24:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010005,Nodaway Lake,,,,,41.2893680000,-94.4975660000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872305552,,as N,Ammonia,Dissolved,0.016,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,ISU,2020-09-23,,,,,,,2021-01-13T16:56:34,STORET
UMRR_LTRM,Upper Mississippi River Restoration - Long Term Resource Monitoring,UMRR_LTRM-UI02.9M:20201109:1102:SR:WB:0.2,Sample-Routine,Water,,2020-11-09,11:02:00,CST,,,,,0.2,m,,,,,,UMRR_LTRM_FIXED_SITE_WQ_DATA,Upper Mississippi River Restoration-Long Term Resource Monitoring Water Quality Data Wate Quality Fixed Site Data,,UMRR_LTRM-UI02.9M,Upper Iowa River 02.9M,,,,,43.4740000000,-91.2950000000,Grab Sample Method,UMRR_LTRM,Grab Sample Method,,Water Bottle,STORET-991835624,,as Si,Silica,"Filtered, lab",2.747,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,370.1,USEPA,Dissolved Silica by Colorimetry,,https://www.nemi.gov/methods/method_summary/5314/,,,,,,,,,2023-10-27T20:44:17,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1324385-SW,Sample-Routine,Water,Surface Water,2020-10-08,10:40:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-872265918,,,Calcium,Total,85,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,200.7(W),USEPA,200.7 W  ~ Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,UHL,2020-10-26,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1324385-SW/results/872265918/resdetectqntlmts,Method Detection Level,1,mg/L,,2021-01-13T16:50:44,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2020-A20087261002-MW,Field Msr/Obs,Water,Municipal Waste,2020-09-17,11:20:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-872304195,,,"Depth, bottom",Total,8.3,m,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Unknown,21IOWA_WQX,Unknown,,,ISU,2020-09-17,,,,,,,2021-01-13T16:56:23,STORET
