"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 2 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","38","27.8"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 3 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","27,020","44.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 3 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","38","27.8"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 4 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","26,760","45.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 4 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","36","31.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 5 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","26,980","45.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 5 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","36","31.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 6 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","26,314","46.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 6 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","36","31.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 7 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","25,817","48.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN 7 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","36","31.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN GE 8 YEARS - INVENTORY, MEASURED IN TREES","TOTAL","NOT SPECIFIED","59,021","77.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES, TO BE CUT IN GE 8 YEARS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","34","32.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","10,445","60.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","24","59.4"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, AMELANCHIER - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, AMELANCHIER - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","10","87.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, CALLERY PEAR - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, CALLERY PEAR - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, CRABAPPLE - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2,096","79.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, CRABAPPLE - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","15","52.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, DOGWOOD - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, DOGWOOD - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, FLOWERING CHERRY - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, FLOWERING CHERRY - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, FLOWERING PLUM - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, FLOWERING PLUM - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, GOLDEN RAIN - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, GOLDEN RAIN - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, HAWTHORN - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, HAWTHORN - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","1","94.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, MAGNOLIA - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","319","71.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, MAGNOLIA - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","10","87.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, OTHER CLASSES - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1,321","82.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, OTHER CLASSES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","12","76.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, REDBUD - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","2,860","88.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS FLOWERING TREES","DECIDUOUS FLOWERING TREES, REDBUD - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","23","61.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","17,652","40.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","30","45.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, BIRCH - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","706","33.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, BIRCH - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","24","57.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, LINDEN - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","793","75.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, LINDEN - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","15","56.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, LOCUST, HONEY - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1,702","53.8"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, LOCUST, HONEY - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","22","64.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, JAPANESE - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","237","75.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, JAPANESE - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","10","87.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, NORWAY - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","502","68.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, NORWAY - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","15","55.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, OTHER - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","1,437","73.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, OTHER - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","19","74.4"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, RED - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","3,701","85.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, RED - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","21","40.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, SUGAR - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","549","60.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, MAPLE, SUGAR - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","18","43.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, OAK - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","3,618","32.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, OAK - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","28","47.7"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, OTHER CLASSES - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","3,189","65.3"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, OTHER CLASSES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","22","64.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, POPLAR - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","301","64.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, POPLAR - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","10","87.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, SWEET GUM - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","125","72.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, SWEET GUM - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","10","87.5"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, WILLOW - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","792","66.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHADE TREES","DECIDUOUS SHADE TREES, WILLOW - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","17","49.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","20,562","76.0"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","15","52.2"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS, BARBERRY - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","273","73.9"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS, BARBERRY - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","4","58.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS, BUDDLEIA - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS, BUDDLEIA - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","67.1"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS, HIBISCUS - INVENTORY, MEASURED IN PLANTS","TOTAL","NOT SPECIFIED","672","65.6"
"CENSUS","2024","END OF DEC","","STATE","IOWA","19","","","","","","","00000000","","DECIDUOUS SHRUBS","DECIDUOUS SHRUBS, HIBISCUS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","12","66.6"
