OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10430001,Boyer River near Missouri Valley,River/Stream,296th Street / County Road F58 bridge 2.5 miles NE of Missouri Valley,10230007,,,,,41.5731270000,-95.8452290000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,085,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10430002,Soldier River at Pisgah,River/Stream,Easton Trail / Jackson Street / County Road F20 bridge SW of Pisgah,10230001,,,,,41.8305830000,-95.9315640000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,085,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10440001,Cedar Creek near Oakland Mills,River/Stream,"260th Street / County Road H46 bridge in Gibson State Recreation Area, 3 miles SW of Oakland Mills",07080107,,,,,40.9253940000,-91.6737020000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,087,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10460001,West Fork Des Moines River near Humboldt,River/Stream,"Gotch Park Road bridge in Frank A. Gotch State Park, 2 miles S of Humboldt",07100002,,,,,42.6747200000,-94.2072500000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,091,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10490001,North Fork Maquoketa River near Hurstville,River/Stream,"Rockdale Road bridge 0.75 miles SE of Hurstville, 1.25 miles N of Maquoketa",07060006,,,,,42.0901780000,-90.6721220000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,097,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10490004,Maquoketa River near Maquoketa,River/Stream,Boat ramp at end of 173rd Avenue 0.5 miles W of Maquoketa,07060006,,,,,42.0707370000,-90.6954040000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,097,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10490005,Maquoketa River near Spragueville,River/Stream,Iron Bridge Road bridge 5 miles NW of Spragueville,07060006,,,,,42.1014000000,-90.5178200000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,097,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10500001,Indian Creek near Mingo,River/Stream,North 51st Avenue West bridge 3.75 miles SE of Mingo,07080105,,,,,41.7461570000,-93.2260940000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,099,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10520001,Old Mans Creek near Iowa City,River/Stream,Sharon Center Road SW / County Road W62 bridge 5 miles SW of Iowa City,07080209,,,,,41.6065260000,-91.6156280000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,103,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10540001,North Skunk River near Hayesville,River/Stream,"180th Avenue bridge 1.75 miles N of Hayesville, 6 miles SW of Sigourney",07080106,,,,,41.2837530000,-92.2573950000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,107,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10550001,East Fork Des Moines River near St. Joseph,River/Stream,130th Street / County Road B63 bridge 3 miles N of St. Joseph,07100003,,,,,42.9513860000,-94.2334040000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,109,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10560002,Skunk River at Augusta,River/Stream,Perkins Road bridge S of Augusta,07080107,,,,,40.7534000000,-91.2755900000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,111,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10570001,Cedar River near Cedar Rapids,River/Stream,Highway 30 bridge SE of Cedar Rapids,07080206,,,,,41.9257420000,-91.5505860000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,113,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10580002,Iowa River near Lone Tree,River/Stream,Tri County Bridge Road / Iowa River Road bridge 6.5 miles SW of Lone Tree,07080209,,,,,41.4238650000,-91.4790900000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,103,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10580003,Iowa River at Wapello,River/Stream,Franklin Street / Highway 99 bridge E of Wapello,07080209,,,,,41.1803310000,-91.1821470000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,115,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10620001,South Skunk River near Oskaloosa,River/Stream,Highway 63 bridge 3 miles N of Oskaloosa,07080105,,,,,41.3552570000,-92.6571450000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,123,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10630002,Cedar Creek near Bussey,River/Stream,Highway 156 / G71 bridge 1.5 miles NW of Bussey,07100009,,,,,41.2190700000,-92.9079050000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,125,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10630003,Whitebreast Creek near Melcher-Dallas,River/Stream,30th Avenue bridge 3.5 miles NW of Melcher-Dallas,07100008,,,,,41.2466870000,-93.2901140000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,125,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10640002,Iowa River near Marshalltown,River/Stream,Main Street Road / County Road E35 bridge 2 miles E of Marshalltown,07080208,,,,,42.0507990000,-92.8465770000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,127,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10650001,West Nishnabotna River near Malvern,River/Stream,Marh Avenue bridge 3.5 miles E of Malvern,10240002,,,,,40.9872770000,-95.5279080000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,129,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10670001,Monona-Harrison Ditch near Turin,Canal Drainage,270th Street / County Road E54 bridge 6 miles SW of Turin,10230004,,,,,41.9649880000,-95.9921860000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,133,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10670002,Maple River at Mapleton,River/Stream,Highway 141 / North 4th Street bridge 0.25 miles NW Mapleton,10230005,,,,,42.1714250000,-95.7961370000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,133,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10670003,Little Sioux River near Turin,River/Stream,270th Street / County Road E54 bridge 5 miles S of Turin,10230003,,,,,41.9650820000,-95.9728770000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,133,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10700001,Cedar River near Conesville,River/Stream,231st Street / County Road G28 bridge 4.5 miles NE of Conesville,07080206,,,,,41.4093590000,-91.2901710000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,139,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10730001,West Nodaway River at Shambaugh,River/Stream,265th Street / County Road J53 bridge 0.25 miles E of Shambaugh,10240009,,,,,40.6593370000,-95.0282730000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,145,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10730002,East Nodaway River near Clarinda,River/Stream,Highway 2 bridge 2.5 miles E of Clarinda,10240010,,,,,40.7274350000,-94.9797500000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,145,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10750001,Floyd River near James,River/Stream,"County Road C70 bridge 0.25 miles E of James, 3 miles NE of Sioux City",10230002,,,,,42.5763700000,-96.3123300000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,149,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10770001,Beaver Creek at Johnston,River/Stream,NW 70th Avenue bridge at the intersection with NW 86th Street in Johnston,07100004,,,,,41.6882530000,-93.7355000000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,153,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10810001,North Raccoon River near Lake View,River/Stream,310th Street bridge 4.5 miles NE of Lake View,07100006,,,,,42.3400010000,-94.9857120000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,161,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10820001,Wapsipinicon River near De Witt,River/Stream,Scott Park Road / Veterans Way / County Road 956 bridge 3.5 miles S of DeWitt,07080103,,,,,41.7665330000,-90.5349100000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,163,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10840001,Rock River near Hawarden,River/Stream,390th Street / County Road K18 bridge 6.5 miles N of Hawarden,10170204,,,,,43.0839080000,-96.4451210000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,167,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10850002,South Skunk River near Cambridge,River/Stream,280th Street / County Road E55 bridge 4.25 miles N of Cambridge,07080105,,,,,41.9503800000,-93.5510130000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,169,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10890001,Des Moines River at Keosauqua,River/Stream,Highway 1 bridge in Keosauqua,07100009,,,,,40.7282320000,-91.9606150000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,177,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10910001,Middle River near Indianola,River/Stream,115th Avenue bridge 4.25 miles N of Indianola,07100008,,,,,41.4246890000,-93.5872850000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,181,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10910003,South River near Ackworth,River/Stream,Highway 92 bridge 2.25 miles E of Ackworth,07100008,,,,,41.3722940000,-93.4307230000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,181,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10920001,English River at Riverside,River/Stream,Pioneer Street / Riverside Road / County Road W61 bridge S of Riverside,07080209,,,,,41.4755350000,-91.5803520000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,183,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10970001,Little Sioux River near Smithland,River/Stream,"Lenox Avenue bridge 1 miles S of Oto, 2.5 miles NE of Smithland",10230003,,,,,42.2671700000,-95.8939200000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,193,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-10970002,West Fork Ditch near Hornick,Canal Drainage,Highway 141 bridge 1 mile E of Hornick,10230004,,,,,42.2270000000,-96.0778000000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,193,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12100002,Lime Creek-Lime Creek Park- Brandon,River/Stream,Originally called Lime Creek near Brandon (site 154),07080205,,,,,42.3291910000,-91.9821780000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,019,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12180005,Mill Creek Larrabee,River/Stream,BioNet SiteID#142,10230003,,,,,42.8478900000,-95.6130400000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,035,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12190003,Wapsipinicon River-Twin Ponds Park,River/Stream,,07080102,,,,,43.0125750000,-92.3902800000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,037,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12340001,Little Cedar River-Colwell Co Park,River/Stream,,07080201,,,,,43.1523720000,-92.6438870000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,067,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12370002,East Buttrick-Pound Pit Co Area - Dana,River/Stream,,07100006,,,,,42.0772800000,-94.2483410000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,073,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12370003,West Buttrick Creek-Spring Lake Park,River/Stream,Originally called West Buttrick Creek nr. Spring Lake Park (site 33),07100006,,,,,42.0701810000,-94.2864430000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,073,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12400007,White Fox Creek-Webster City,River/Stream,,07100005,,,,,42.5358740000,-93.7879190000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,079,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12420001,South Fork Iowa River Logsdon Co Park- Iowa Falls,River/Stream,BioNet SiteID#21,07080207,,,,,42.3852500000,-93.2624300000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,083,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12660003,Deer Creek-Carpenter - 1 mile NW,River/Stream,Originally called Deer Creek near Carpenter (site 29),07080201,,,,,43.4242140000,-93.0224230000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,131,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12940001,Lizard Creek-Clare,River/Stream,,07100004,,,,,42.5412720000,-94.3450460000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,187,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-12980003,Willow Creek-Willow Creek Wildlife Area - Hanlontown,River/Stream,,07080203,,,,,43.2766560000,-93.3540060000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,195,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-13080006,Big Creek 319 (BCW 9-1),River/Stream,,07100004,,,,,41.8634500000,-93.7597400000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,015,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-13770004,Big Creek 319 (BCW9),River/Stream,,07100004,,,,,41.8364780000,-93.7599580000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,153,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-13770005,Big Creek 319 (BCW10),River/Stream,,07100004,,,,,41.8275400000,-93.7726050000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,153,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-14000134,Lost Grove Lake,Lake,,07080103,,,,,41.6694300000,-90.4354800000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,163,,,,,,,,,,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-14000172,LPINELK 1,Lake,Lower Pine Lake,07080207,,,,,42.3684900000,-93.0709880000,0,,,Interpolation-Map,NAD83,,,,,,,US,19,083,,,,,,,,,,STORET
