program,year,period,week_ending,geo_level,state,state_ansi,watershed_code,commodity,data_item,domain,domain_category,value,cv_(%)
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, BALSAM - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,6.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, CANAAN - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,83030.0,54.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, CANAAN - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,27.0,28.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, CONCOLOR - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,12620.0,50.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, CONCOLOR - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,14.0,47.4
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, DOUGLAS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,9700.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, DOUGLAS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, FRASER - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,92800.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, FIR, FRASER - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,12.0,75.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, OTHER CLASSES - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,10938.0,90.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, OTHER CLASSES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,9.0,62.4
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, PINE, SCOTCH - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,14400.0,53.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, PINE, SCOTCH - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,20.0,32.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, PINE, WHITE - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,19350.0,30.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, PINE, WHITE - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,23.0,29.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, SPRUCE, COLORADO BLUE - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,3200.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, SPRUCE, COLORADO BLUE - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, SPRUCE, NORWAY - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, SPRUCE, NORWAY - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2.0,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, SPRUCE, WHITE - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, SPRUCE, WHITE - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4.0,75.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 1 YEAR - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,39830.0,33.8
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 1 YEAR - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,41.0,26.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 2 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,27555.0,42.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 2 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,38.0,27.8
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 3 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,27020.0,44.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 3 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,38.0,27.8
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 4 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,26760.0,45.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 4 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,36.0,31.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 5 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,26980.0,45.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 5 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,36.0,31.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 6 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,26314.0,46.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 6 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,36.0,31.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 7 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,25817.0,48.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN 7 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,36.0,31.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN GE 8 YEARS - INVENTORY, MEASURED IN TREES",TOTAL,NOT SPECIFIED,59021.0,77.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,CUT CHRISTMAS TREES,"CUT CHRISTMAS TREES, TO BE CUT IN GE 8 YEARS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,34.0,32.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,10445.0,60.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,DECIDUOUS FLOWERING TREES - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,24.0,59.4
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, AMELANCHIER - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, AMELANCHIER - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, CALLERY PEAR - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, CALLERY PEAR - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, CRABAPPLE - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,2096.0,79.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, CRABAPPLE - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15.0,52.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, DOGWOOD - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, DOGWOOD - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, FLOWERING CHERRY - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, FLOWERING CHERRY - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, FLOWERING PLUM - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, FLOWERING PLUM - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, GOLDEN RAIN - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, GOLDEN RAIN - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, HAWTHORN - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, HAWTHORN - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,1.0,94.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, MAGNOLIA - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,319.0,71.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, MAGNOLIA - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, OTHER CLASSES - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,1321.0,82.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, OTHER CLASSES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,12.0,76.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, REDBUD - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,2860.0,88.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS FLOWERING TREES,"DECIDUOUS FLOWERING TREES, REDBUD - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,23.0,61.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,17652.0,40.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,DECIDUOUS SHADE TREES - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,30.0,45.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, BIRCH - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,706.0,33.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, BIRCH - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,24.0,57.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, LINDEN - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,793.0,75.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, LINDEN - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15.0,56.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, LOCUST, HONEY - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,1702.0,53.8
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, LOCUST, HONEY - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,22.0,64.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, JAPANESE - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,237.0,75.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, JAPANESE - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, NORWAY - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,502.0,68.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, NORWAY - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,15.0,55.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, OTHER - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,1437.0,73.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, OTHER - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,19.0,74.4
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, RED - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,3701.0,85.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, RED - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,21.0,40.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, SUGAR - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,549.0,60.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, MAPLE, SUGAR - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,18.0,43.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, OAK - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,3618.0,32.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, OAK - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,28.0,47.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, OTHER CLASSES - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,3189.0,65.3
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, OTHER CLASSES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,22.0,64.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, POPLAR - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,301.0,64.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, POPLAR - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, SWEET GUM - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,125.0,72.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, SWEET GUM - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, WILLOW - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,792.0,66.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHADE TREES,"DECIDUOUS SHADE TREES, WILLOW - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,17.0,49.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,20562.0,76.0
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,DECIDUOUS SHRUBS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,15.0,52.2
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, BARBERRY - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,273.0,73.9
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, BARBERRY - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4.0,58.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, BUDDLEIA - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,,
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, BUDDLEIA - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2.0,67.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, HIBISCUS - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,672.0,65.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, HIBISCUS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,12.0,66.6
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, HYDRANGEA - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,1903.0,69.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, HYDRANGEA - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13.0,61.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, LILAC - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,1626.0,76.8
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, LILAC - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13.0,61.1
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, OTHER CLASSES - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,7221.0,72.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, OTHER CLASSES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10.0,87.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, ROSE - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,2165.0,82.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, ROSE - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13.0,61.5
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, SPIREA - INVENTORY, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,1090.0,64.7
CENSUS,2024,END OF DEC,,STATE,IOWA,19,0,DECIDUOUS SHRUBS,"DECIDUOUS SHRUBS, SPIREA - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,13.0,61.5
