MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,climate_station,climate_station_name,distance_to_climate_station_km
21IOWA_WQX-10360001,40.785673,-95.384891,IA7613,SHENANDOAH-1-NE,3.9306499226650806
21IOWA_WQX-10910001,41.424689,-93.587285,IA2203,Des Moines Airport,13.629240651855515
PCCB_WQX-977302,41.529,-93.3767,IA0000,Iowa Average,28.326106053092364
21IOWA_WQX-14000414,41.804396,-93.739259,IA2209,DES MOINES WSFO-JOHNSTON,7.737043272870064
21IOWA_WQX-10640002,42.050799,-92.846577,IA5198,MARSHALLTOWN,9.518750318471785
PCCB_WQX-977071,41.6393,-93.62586,IATDSM,Des Moines Area,12.094260537413417
21IOWA_WQX-14000134,41.66943,-90.43548,IA4705,Le Claire L&D 14,11.943229254804942
21IOWA_WQX-10250001,41.57974,-94.182917,IA6566,PERRY,28.69359529070506
21IOWA_WQX-10340001,43.008949,-92.602416,IA1402,CHARLES-CITY,8.792686817521822
ERG-DM5,43.083,-94.4982,IA2689,Emmetsburg,20.303426309269543
21IOWA_WQX-14000242,42.41421,-93.33139,IA4142,IOWA-FALLS,14.57292396298221
21IOWA_WQX-21870001,40.711254,-94.687496,IA1833,CORNING,32.85071569687518
21IOWA_WQX-12660003,43.424214,-93.022423,IA6103,NORTHWOOD,22.155875483429405
21IOWA_WQX-22530001,42.112527,-91.137301,IA0214,ANAMOSA 3 SSW,18.804035512607918
PCCB_WQX-977329,41.5688,-93.5777,IA2203,Des Moines Airport,9.12390116064983
21IOWA_WQX-10810001,42.340001,-94.985712,IA7312,SAC-CITY,10.132760519713797
21IOWA_WQX-22260001,40.81972,-92.573748,IA6392,OTTUMWA #1,22.077063552714655
21IOWA_WQX-10030002,43.111779,-91.264921,IA8755,WAUKON,29.689849397087993
PCCB_WQX-977242,41.5992,-93.4502,IA2203,Des Moines Airport,23.511530271959558
21IOWA_WQX-22040001,40.824972,-92.894015,IA6910,RATHBUN DAM,0.16848908263836015
PCCB_WQX-977120,41.7394,-93.7851,IA2209,DES MOINES WSFO-JOHNSTON,6.845571866147839
PCCB_WQX-977094,41.55074,-93.3864,IA0000,Iowa Average,26.850641104260507
21IOWA_WQX-10620001,41.355257,-92.657145,IA6327,OSKALOOSA,4.000092905293311
PCCB_WQX-977189,41.7171,-93.6232,IA2209,DES MOINES WSFO-JOHNSTON,11.372588529881874
21IOWA_WQX-14000450,41.706425,-93.440585,IA0000,Iowa Average,21.738941698574138
21IOWA_WQX-22300011,43.360703,-95.123335,IA7859,SPIRIT LAKE,7.407541819417793
PCCB_WQX-977334,41.5820693,-93.6796577,IATDSM,Des Moines Area,6.106585070326261
PCCB_WQX-977113,41.60211,-93.73635,IATDSM,Des Moines Area,11.960323246103279
21IOWA_WQX-10220001,42.739547,-91.261976,IA3517,GUTTENBERG-L-AND-D-10,18.564115315662242
21IOWA_WQX-10430002,41.830583,-95.931564,IA4874,LITTLE SIOUX 2NW,13.233652089618804
21IOWA_WQX-21170001,43.111086,-93.39614,IA5235,MASON CITY MUNICIPAL AP,9.157024877899838
PCCB_WQX-977306,41.77698,-93.3961,IA0000,Iowa Average,16.520262247130013
ERG-HD3,42.388,-93.4246,IA4142,IOWA-FALLS,23.341708888952837
21IOWA_WQX-21300001,43.371222,-95.160845,IA5493,Milford,7.575777765040843
EPA_R7_WQX-HD5,42.39814,-93.474345,IA4142,IOWA-FALLS,27.042080042124855
PCCB_WQX-977270,41.5741,-93.7747,IATDSM,Des Moines Area,14.237541004536132
21IOWA_WQX-10670001,41.964988,-95.992186,IA4874,LITTLE SIOUX 2NW,16.729158992235885
21IOWA_WQX-22930001,40.7187,-93.400695,IA0149,Allerton,4.484335783527604
21IOWA_WQX-10560002,40.7534,-91.27559,IA1060,BURLINGTON,14.057306472777952
21IOWA_WQX-22450001,43.370764,-92.548167,IA6305,OSAGE,29.76577562193552
PCCB_WQX-977273,41.5371,-93.633,IA2203,Des Moines Airport,2.048553401305297
PCCB_WQX-977304,41.63335,-93.412267,IA0000,Iowa Average,22.221688288490395
21IOWA_WQX-10850002,41.95038,-93.551013,IA0203,AMES 5 SE,1.6197233674842055
21IOWA_WQX-22330001,42.895701,-91.770847,IAC003,Iowa - Northeast Climate Division,4.16470768807202
21IOWA_WQX-22020001,41.047901,-94.751936,IA1833,CORNING,5.33069672506871
21IOWA_WQX-21940001,42.391904,-93.984671,IA8806,WEBSTER-CITY,22.29516883364873
21IOWA_WQX-10040002,40.81072,-92.88285,IA6910,RATHBUN DAM,1.916430608881875
21IOWA_WQX-22090001,42.710038,-92.536443,IATALO,Waterloo Area,22.919865948836215
21IOWA_WQX-10220002,42.749729,-91.27678,IA2603,Elkader 6SSW (Osborn),19.866021128103668
21IOWA_WQX-10700001,41.409359,-91.290171,IA1731,COLUMBUS JUNCT 2 SSW,19.818904141919408
21IOWA_WQX-13080006,41.86345,-93.75974,IA2209,DES MOINES WSFO-JOHNSTON,14.66636301528242
21IOWA_WQX-22780003,41.205027,-95.857569,IA4894,LOGAN,47.68645222936564
21IOWA_WQX-21810002,42.29299,-95.016776,IA7312,SAC-CITY,15.348595565775984
21IOWA_WQX-14000557,40.760455,-92.442552,IA6392,OTTUMWA #1,28.980062242631327
21IOWA_WQX-21170002,43.120303,-93.458755,IAC002,Iowa - North Central Climate Division,8.520276287707183
21IOWA_WQX-22990001,42.79134,-93.690345,IAC002,Iowa - North Central Climate Division,36.439560222828234
21IOWA_WQX-10460001,42.67472,-94.20725,IAD002,Iowa Drought Region 2 - Northcentral,9.842837042493215
21IOWA_WQX-10100001,42.512157,-91.974035,IA7892,STANLEY,18.257659665314154
21IOWA_WQX-22630002,41.421586,-93.049232,IA5992,NEWTON,30.958342090607452
21IOWA_WQX-22300010,43.412442,-95.138753,IA7859,SPIRIT LAKE,4.469134192788651
21IOWA_WQX-22830001,41.853559,-95.467471,IA2171,DENISON,24.871325544534542
21IOWA_WQX-22540002,41.378564,-92.200503,IA7678,SIGOURNEY,5.40036006177516
21IOWA_WQX-22790005,41.584702,-92.556038,IA3473,GRINNELL-3-SW,24.505385633276266
EPA_R7_WQX-DM9,43.112148,-94.500334,IA2689,Emmetsburg,20.02356221242401
21IOWA_WQX-22430001,41.538074,-95.998315,IA4894,LOGAN,24.305498904440608
21IOWA_WQX-10730002,40.727435,-94.97975,IA1533,CLARINDA,5.6483758205406716
MNPCA-S000-097,43.500194,-96.184556,IA7147,ROCK-RAPIDS,7.9712685558607825
21IOWA_WQX-21890001,40.709206,-91.971532,IA4389,KEOSAUQUA,1.212266754750972
ERG-RC10,42.2527,-94.8851,IA1233,CARROLL-2-SSW,20.68682919008732
PCCB_WQX-977078,41.70261,-93.55587,IA2209,DES MOINES WSFO-JOHNSTON,19.02982613131029
21IOWA_WQX-14000249,41.52472,-90.68261,IA2070,DAVENPORT WFO,14.954853884589223
21IOWA_WQX-21300003,43.423886,-95.174717,IA7859,SPIRIT LAKE,8.308611027883462
21IOWA_WQX-22740002,43.175492,-94.901916,IA2689,Emmetsburg,26.064658424735512
21IOWA_WQX-22520001,41.793669,-91.572865,IA4101,Iowa City,16.671153086217608
PCCB_WQX-977152,41.6427,-93.3799,IA0000,Iowa Average,18.734711789818153
21IOWA_WQX-14000416,41.819778,-93.746444,IA2209,DES MOINES WSFO-JOHNSTON,9.591442608187883
PCCB_WQX-977003,41.5468,-93.5947,IA2203,Des Moines Airport,6.426576175479141
21IOWA_WQX-22420001,42.366567,-93.077762,IA4142,IOWA-FALLS,28.056794614136656
PCCB_WQX-977192,41.77987,-93.71081,IA2209,DES MOINES WSFO-JOHNSTON,5.017192226161601
21IOWA_WQX-21500001,41.742616,-92.85157,IA3473,GRINNELL-3-SW,13.749893780516778
PCCB_WQX-977308,41.5685,-93.5224,IA2203,Des Moines Airport,14.820248205950657
PCCB_WQX-977072,41.84965,-93.65797,IA2209,DES MOINES WSFO-JOHNSTON,14.535350198142359
21IOWA_WQX-10070003,42.628973,-92.543666,IATALO,Waterloo Area,17.87065771664062
21IOWA_WQX-10570001,41.925742,-91.550586,IA1319,CEDAR-RAPIDS-1,12.045502650738326
EPA_R7_WQX-RC3,42.325451,-94.929648,IA7312,SAC-CITY,14.01228033638516
PCCB_WQX-977085,41.5742,-93.78019,IATDSM,Des Moines Area,14.82187418005983
EPA_R7_WQX-HD2,42.381022,-93.385824,IA4142,IOWA-FALLS,20.983058205953217
21IOWA_WQX-10490001,42.090178,-90.672122,IA5131,MAQUOKETA-2-W,3.8266802544039016
21IOWA_WQX-10670002,42.171425,-95.796137,IA5123,MAPLETON NO. 2,1.5210319589866257
21IOWA_WQX-22070005,42.477834,-92.460163,IA8706,WATERLOO,10.447305190157962
PCCB_WQX-977328,41.6153,-93.6322,IATDSM,Des Moines Area,9.334083911932343
21IOWA_WQX-22320001,43.31786,-94.700148,IA2725,ESTHERVILLE MUNICIPAL AP,10.62521834469048
21IOWA_WQX-14000556,40.882677,-93.507183,IAC008,Iowa - South Central Climate Division,18.296451752789018
PCCB_WQX-977301,41.7611,-93.5906,IA2209,DES MOINES WSFO-JOHNSTON,15.03775209163184
21IOWA_WQX-22500001,41.739626,-92.85492,IA3473,GRINNELL-3-SW,14.06085514615864
PCCB_WQX-977321,41.600049,-93.521108,IA2203,Des Moines Airport,16.31196225099954
21IOWA_WQX-22770004,41.793971,-93.731388,IA2209,DES MOINES WSFO-JOHNSTON,6.43787377106825
21IOWA_WQX-22830002,41.601319,-95.227489,IAD004,Iowa Drought Region 4 - Southwest,32.03568007867515
EPA_R7_WQX-HD15,42.406283,-93.540821,IA8806,WEBSTER-CITY,29.677509329153963
PCCB_WQX-977043,41.629673,-93.548072,IATDSM,Des Moines Area,15.79758799170575
PCCB_WQX-977067,41.57993,-93.35662,IA0000,Iowa Average,22.319907348127227
21IOWA_WQX-10890001,40.728232,-91.960615,IA4389,KEOSAUQUA,1.3881298210959556
PCCB_WQX-977252,41.616,-93.7264,IATDSM,Des Moines Area,12.229869937967061
MESKWAKI_DNR-Site 4,41.9649,-92.6699,IA8296,TOLEDO,10.136452910593976
21IOWA_WQX-22810001,42.29701,-95.051155,IA7312,SAC-CITY,15.844076925277761
PCCB_WQX-977099,41.62931,-93.74163,IA2209,DES MOINES WSFO-JOHNSTON,12.097387130588217
MESKWAKI_DNR-Site 2,41.9987,-92.6708,IA8296,TOLEDO,10.308393428241244
PCCB_WQX-977331,41.804122,-93.601439,IA2209,DES MOINES WSFO-JOHNSTON,15.52056954032352
PCCB_WQX-977105,41.71896,-93.64766,IA2209,DES MOINES WSFO-JOHNSTON,8.668964434338752
PCCB_WQX-977325,41.571387,-93.600861,IATDSM,Des Moines Area,7.1430956975273965
PCCB_WQX-977087,41.58745,-93.54458,IA2203,Des Moines Airport,13.349819912315153
21IOWA_WQX-22780002,41.435847,-95.592848,IA6151,OAKLAND-2-E,26.946089029935077
PCCB_WQX-977275,41.5494,-93.5538,IA2203,Des Moines Airport,10.912296423348327
PCCB_WQX-977322,41.710096,-93.376935,IA0000,Iowa Average,14.795538375518083
MESKWAKI_DNR-Site 8,41.9738,-92.6274,IA8296,TOLEDO,5.315536202782313
21IOWA_WQX-10070001,42.57352,-92.50671,IATALO,Waterloo Area,11.912315397674034
EPA_R7_WQX-RC5,42.354421,-94.930343,IA7312,SAC-CITY,11.428914500525451
21IOWA_WQX-22300012,43.354894,-95.12101,IA7859,SPIRIT LAKE,7.935827386912568
PCCB_WQX-977147,41.5932,-93.7129,IATDSM,Des Moines Area,9.356694643372526
21IOWA_WQX-10550001,42.951386,-94.233404,IA0133,ALGONA,15.125906079922963
21IOWA_WQX-22600001,43.382799,-96.470521,IA7147,ROCK-RAPIDS,33.826075289085786
21IOWA_WQX-10910003,41.372294,-93.430723,IA2203,Des Moines Airport,30.033662238407302
PCCB_WQX-977106,41.69259,-93.62177,IA2209,DES MOINES WSFO-JOHNSTON,12.335236169160805
21IOWA_WQX-14000608,41.60251,-95.2082,IA0364,ATLANTIC-1-NE,30.786568095642778
PCCB_WQX-977075,41.77674,-93.59312,IA2209,DES MOINES WSFO-JOHNSTON,15.179736629245358
21IOWA_WQX-22290002,40.943648,-91.236947,IA1060,BURLINGTON,15.07245369063377
21IOWA_WQX-14000411,43.3788,-95.17479,IA5493,Milford,7.525652673421635
EPA_R7_WQX-RC16,42.301216,-94.892158,IA7312,SAC-CITY,18.677840371215066
21IOWA_WQX-10070002,42.315748,-92.193798,IA8568,VINTON,26.963369835846812
21IOWA_WQX-10120001,42.711543,-92.581429,IA0157,ALLISON,22.49036153503547
21IOWA_WQX-12100002,42.329191,-91.982178,IA8568,VINTON,17.811816225226803
PCCB_WQX-977300,41.788,-93.7913,IA2209,DES MOINES WSFO-JOHNSTON,9.451732285323182
PCCB_WQX-977117,41.54204,-93.58338,IA2203,Des Moines Airport,7.527811125135513
MESKWAKI_DNR-Site 6,41.9557,-92.6393,IA8296,TOLEDO,7.126007361268418
PCCB_WQX-977109,41.5912,-93.69872,IATDSM,Des Moines Area,8.135506270713073
21IOWA_WQX-10490005,42.1014,-90.51782,IA5131,MAQUOKETA-2-W,20.55618369769746
21IOWA_WQX-26770002,41.831896,-93.752774,IA2209,DES MOINES WSFO-JOHNSTON,11.081872879772328
21IOWA_WQX-21860001,42.12903,-92.722883,IA5199,MARSHALLTOWN MUNICIPAL AP,21.615474116025933
EPA_R7_WQX-HD7,42.401997,-93.521313,IA4142,IOWA-FALLS,31.360713437045728
21IOWA_WQX-26770004,41.82228,-93.761837,IA2209,DES MOINES WSFO-JOHNSTON,10.432863959241882
21IOWA_WQX-22350001,42.769824,-93.237655,IA3584,HAMPTON-2-NW,4.731850425318133
21IOWA_WQX-22470002,42.357536,-95.480268,IATIDA,Ida Grove Area,4.650969857277993
21IOWA_WQX-22340001,43.125705,-92.891889,IA6305,OSAGE,19.968867566298208
21IOWA_WQX-22640001,41.929669,-92.86022,IA5198,MARSHALLTOWN,17.42678093106301
21IOWA_WQX-22240002,42.022643,-95.324804,IA2171,DENISON,1.001519223030993
21IOWA_WQX-10580003,41.180331,-91.182147,IA1731,COLUMBUS JUNCT 2 SSW,22.27856862328183
PCCB_WQX-977330,41.60405,-93.684783,IATDSM,Des Moines Area,8.548868872133891
21IOWA_WQX-13770005,41.82754,-93.772605,IA2209,DES MOINES WSFO-JOHNSTON,11.486803852751494
21IOWA_WQX-22970002,42.446717,-95.802362,IA3910,HOLSTEIN 5 NNW,23.982519389875314
21IOWA_WQX-21440001,40.826117,-91.392169,IA5796,MOUNT-PLEASANT,22.310486105470925
21IOWA_WQX-10430001,41.573127,-95.845229,IA4894,LOGAN,8.079978078353966
21IOWA_WQX-21300004,43.356546,-95.175396,IA5493,Milford,5.309024022062637
21IOWA_WQX-22870001,40.709919,-94.689703,IA1833,CORNING,32.944997318212295
21IOWA_WQX-14000600,42.638304,-91.55771,IA2603,Elkader 6SSW (Osborn),19.13289460475745
PCCB_WQX-977012,41.5622,-93.6411,IATDSM,Des Moines Area,3.407793440321217
21IOWA_WQX-22240001,41.936814,-95.588666,IA2171,DENISON,30.57187783584928
21IOWA_WQX-21280001,42.601452,-91.534197,IA5086,MANCHESTER-2,17.358081205956918
PCCB_WQX-977066,41.63703,-93.37826,IA0000,Iowa Average,19.00517731657519
21IOWA_WQX-22060002,42.201468,-92.075563,IA8568,VINTON,9.101698363990028
21IOWA_WQX-22890005,40.683281,-91.987545,IA4389,KEOSAUQUA,4.525117106112441
21IOWA_WQX-22540001,41.377633,-92.123309,IA7678,SIGOURNEY,10.038637190723714
21IOWA_WQX-10920001,41.475535,-91.580352,IA4106,IOWA CITY MUNICIPAL AP,18.649594973940438
PCCB_WQX-977332,41.805758,-93.615953,IA2209,DES MOINES WSFO-JOHNSTON,14.227174935368327
21IOWA_WQX-22770001,41.545387,-93.556884,IA2203,Des Moines Airport,10.49443863867854
PCCB_WQX-977073,41.58989,-93.52807,IA2203,Des Moines Airport,15.10522282225072
21IOWA_WQX-22880005,41.059964,-94.396477,IA1962,Creston,2.543872672843196
PCCB_WQX-977060,41.68825,-93.73555,IA2209,DES MOINES WSFO-JOHNSTON,5.538048781669181
21IOWA_WQX-22890004,40.711232,-91.970015,IA4389,KEOSAUQUA,0.9749585435319141
21IOWA_WQX-22870003,40.731039,-94.827079,IA1533,CLARINDA,22.597148816903637
21IOWA_WQX-22430002,41.76936,-95.788952,IA4894,LOGAN,15.54474368480108
21IOWA_WQX-10650001,40.987277,-95.527908,IA7613,SHENANDOAH-1-NE,30.373726421801674
21IOWA_WQX-10090001,42.649586,-92.46655,IATALO,Waterloo Area,12.832268918976352
ERG-RC16,42.3014,-94.8922,IA7312,SAC-CITY,18.659158089834893
ERG-RC12,42.2737,-94.9165,IA7312,SAC-CITY,19.704399876816662
21IOWA_WQX-22710002,42.936142,-95.467677,IAC001,Iowa - Northwest Climate Division,10.534009864853248
PCCB_WQX-977164,41.75864,-93.74703,IA2209,DES MOINES WSFO-JOHNSTON,3.576825545386495
21IOWA_WQX-23000118,43.17656,-93.18717,IA5230,Mason City,1.763786039926759
21IOWA_WQX-14000248,41.52698,-90.68863,IA2070,DAVENPORT WFO,15.314440631104985
21IOWA_WQX-22170001,43.125762,-93.416968,IA5235,MASON CITY MUNICIPAL AP,10.593981585012816
21IOWA_WQX-22110001,42.621568,-95.204186,IA7979,STORM-LAKE-2-E,2.848112607657534
21IOWA_WQX-12980003,43.276656,-93.354006,IA5235,MASON CITY MUNICIPAL AP,13.943894509214319
21IOWA_WQX-10580002,41.423865,-91.47909,IA1731,COLUMBUS JUNCT 2 SSW,22.823328564066234
MESKWAKI_DNR-Site 3,41.9848,-92.6724,IA8296,TOLEDO,10.288265145285589
21IOWA_WQX-10220003,43.041505,-91.208083,IA3517,GUTTENBERG-L-AND-D-10,31.463802565457996
PCCB_WQX-977121,41.70629444,-93.7465833,IA2209,DES MOINES WSFO-JOHNSTON,4.229295849495503
21IOWA_WQX-21260001,40.817854,-92.580321,IA6392,OTTUMWA #1,22.492613754349108
PCCB_WQX-977079,41.6586,-93.54573,IATDSM,Des Moines Area,18.289276127587254
EPA_R7_WQX-DM5,43.082942,-94.498192,IA2689,Emmetsburg,20.304913445109015
21IOWA_WQX-21780001,41.200974,-95.859442,IA4894,LOGAN,48.161224867820636
PCCB_WQX-977160,41.65259,-93.68721,IA2209,DES MOINES WSFO-JOHNSTON,10.180205065672837
EPA_R7_WQX-DM3,43.052718,-94.474233,IA0133,ALGONA,19.46889670317222
ERG-RC13,42.2971,-94.9359,IA7312,SAC-CITY,16.406893381118973
21IOWA_WQX-22790004,41.731706,-92.732963,IA3473,GRINNELL-3-SW,1.3426979852561693
21IOWA_WQX-21300005,43.496309,-95.121003,IA7859,SPIRIT LAKE,8.468852418298079
21IOWA_WQX-22940001,42.586293,-94.192441,IAD002,Iowa Drought Region 2 - Northcentral,1.4603299186431955
21IOWA_WQX-22010004,41.242803,-94.635685,IA3438,GREENFIELD,19.49022696023445
21IOWA_WQX-14000412,43.40923,-95.16792,IA7859,SPIRIT LAKE,7.708225524191106
EPA_R7_WQX-NRR001,41.849423,-94.139807,IA6566,PERRY,3.0846726835529665
21IOWA_WQX-10540001,41.283753,-92.257395,IA7678,SIGOURNEY,8.196032417204366
EPA_R7_WQX-RC20,42.340086,-94.98561,IA7312,SAC-CITY,10.12521213384533
21IOWA_WQX-21040001,40.867537,-92.919321,IA6910,RATHBUN DAM,5.591637209398645
21IOWA_WQX-21150001,41.42685,-94.77944,IA0364,ATLANTIC-1-NE,24.536978116839734
21IOWA_WQX-14000563,42.050952,-92.86569,IA5198,MARSHALLTOWN,7.458024027120973
21IOWA_WQX-22970001,42.308223,-96.325165,IATSUX,Sioux City Area,11.075317100794896
EPA_R7_WQX-NRR003,41.790393,-94.102325,IA6566,PERRY,4.822733142283316
MESKWAKI_DNR-Site 7,41.9565,-92.5972,IA8296,TOLEDO,3.238216966077544
21IOWA_WQX-21670001,42.041409,-96.162561,IA4874,LITTLE SIOUX 2NW,26.97011103287505
21IOWA_WQX-22550001,43.123398,-94.24147,IA0133,ALGONA,8.809773626666201
21IOWA_WQX-22480001,41.634848,-92.173512,IA9067,WILLIAMSBURG,17.51155844912355
21IOWA_WQX-22070002,42.478854,-92.388799,IA8706,WATERLOO,8.008517468278088
21IOWA_WQX-22880003,41.071382,-94.212987,IA1962,Creston,20.50530941417514
21IOWA_WQX-14000593,42.431117,-91.978169,IA7892,STANLEY,25.86228497564439
EPA_R7_WQX-HD14,42.403127,-93.501808,IA4142,IOWA-FALLS,29.384026146986553
21IOWA_WQX-14000409,43.35968,-95.16862,IA5493,Milford,6.030791725416898
21IOWA_WQX-22050001,41.559414,-94.786286,IA0385,AUDUBON,23.962849095529137
21IOWA_WQX-22740001,43.141767,-94.660349,IA2689,Emmetsburg,5.132635548625092
PCCB_WQX-977081,41.61385,-93.54544,IA2203,Des Moines Airport,14.903279804322086
PCCB_WQX-977062,41.66663,-93.72225,IA2209,DES MOINES WSFO-JOHNSTON,7.781757022876593
21IOWA_WQX-22150002,41.42777,-94.781021,IA0364,ATLANTIC-1-NE,24.364677339600096
21IOWA_WQX-14000606,41.60759,-95.2133,IA0364,ATLANTIC-1-NE,31.585407376532434
21IOWA_WQX-22910001,41.277636,-93.5902,IAC008,Iowa - South Central Climate Division,27.81354912759811
21IOWA_WQX-10670003,41.965082,-95.972877,IA4874,LITTLE SIOUX 2NW,17.681662458938327
21IOWA_WQX-10420001,42.310213,-93.075681,IA5199,MARSHALLTOWN MUNICIPAL AP,28.396272918108753
21IOWA_WQX-22080004,42.111953,-94.019875,IA0807,Boone,16.3602126175744
21IOWA_WQX-10360003,40.601744,-95.645621,IA7613,SHENANDOAH-1-NE,38.3851227890749
